index,year,month,dz,count
0,2016.0,1.0,,
1,2016.0,2.0,,
2,2016.0,3.0,,
3,2016.0,4.0,,
4,2016.0,5.0,,
5,2016.0,6.0,,
6,2016.0,7.0,,
7,2016.0,8.0,,
8,2016.0,9.0,-0.48124745241947964,720.0
9,2016.0,10.0,-0.01711266470509293,744.0
10,2016.0,11.0,,
11,2016.0,12.0,,
12,2017.0,1.0,,
13,2017.0,2.0,,
14,2017.0,3.0,,
15,2017.0,4.0,,
16,2017.0,5.0,0.0,0.0
17,2017.0,6.0,-0.14158333814917526,720.0
18,2017.0,7.0,,
19,2017.0,8.0,,
20,2017.0,9.0,-0.5938799179380478,720.0
21,2017.0,10.0,0.0,0.0
22,2017.0,11.0,,
23,2017.0,12.0,,
24,2018.0,1.0,0.0,0.0
25,2018.0,2.0,,
26,2018.0,3.0,-0.023392547088113978,744.0
27,2018.0,4.0,0.009496815765141537,720.0
28,2018.0,5.0,0.01297412318683732,744.0
29,2018.0,6.0,-0.011571763754045237,720.0
30,2018.0,7.0,-0.49473108356787143,744.0
31,2018.0,8.0,-1.396121909504222,744.0
32,2018.0,9.0,-0.3325229195561714,720.0
33,2018.0,10.0,0.014986919968247551,744.0
34,2018.0,11.0,0.0,0.0
35,2018.0,12.0,0.00767566572851334,744.0
36,2019.0,1.0,-0.0016840549902563643,744.0
37,2019.0,2.0,,
38,2019.0,3.0,0.005660727430179581,744.0
39,2019.0,4.0,-0.015152257666820018,720.0
40,2019.0,5.0,-0.015294472107959506,744.0
41,2019.0,6.0,0.0,0.0
42,2019.0,7.0,-1.7714037021000228,744.0
43,2019.0,8.0,-1.6405165088042148,744.0
44,2019.0,9.0,-0.16010617005701852,720.0
45,2019.0,10.0,-0.201723493541169,744.0
46,2019.0,11.0,,
47,2019.0,12.0,,
48,2020.0,1.0,,
49,2020.0,2.0,,
50,2020.0,3.0,,
51,2020.0,4.0,,
52,2020.0,5.0,,
53,2020.0,6.0,,
54,2020.0,7.0,,
55,2020.0,8.0,,
56,2020.0,9.0,,
57,2020.0,10.0,,
58,2020.0,11.0,,
59,2020.0,12.0,,
