index,year,month,dz,count
0,2009.0,1.0,,
1,2009.0,2.0,,
2,2009.0,3.0,,
3,2009.0,4.0,,
4,2009.0,5.0,,
5,2009.0,6.0,,
6,2009.0,7.0,,
7,2009.0,8.0,,
8,2009.0,9.0,0.0,0.0
9,2009.0,10.0,-0.004720345312838488,744.0
10,2009.0,11.0,0.007896850439204605,720.0
11,2009.0,12.0,-0.0008370426499241265,744.0
12,2010.0,1.0,-0.012749296384498857,744.0
13,2010.0,2.0,,
14,2010.0,3.0,0.0,0.0
15,2010.0,4.0,0.006310610263522907,720.0
16,2010.0,5.0,-0.4046583477664721,744.0
17,2010.0,6.0,-0.8621453074433658,720.0
18,2010.0,7.0,-1.089010012989825,744.0
19,2010.0,8.0,-0.8941075773977055,744.0
20,2010.0,9.0,-0.008347299826078684,720.0
21,2010.0,10.0,0.0033750471654352366,744.0
22,2010.0,11.0,0.016002525427647005,720.0
23,2010.0,12.0,0.012993494262827707,744.0
24,2011.0,1.0,-0.009578216785738907,744.0
25,2011.0,2.0,,
26,2011.0,3.0,0.001499058237713694,744.0
27,2011.0,4.0,0.01835745492371778,720.0
28,2011.0,5.0,-0.016930854441797837,744.0
29,2011.0,6.0,-0.8600809909076902,720.0
30,2011.0,7.0,-1.2860345204589747,744.0
31,2011.0,8.0,-0.7274721151764451,744.0
32,2011.0,9.0,,
33,2011.0,10.0,,
34,2011.0,11.0,,
35,2011.0,12.0,0.009745063866638589,744.0
36,2012.0,1.0,0.0,0.0
37,2012.0,2.0,,
38,2012.0,3.0,0.0,0.0
39,2012.0,4.0,0.0,0.0
40,2012.0,5.0,0.0,0.0
41,2012.0,6.0,-0.9002682231468638,720.0
42,2012.0,7.0,-1.3312060077938956,744.0
43,2012.0,8.0,-1.0613951387385452,744.0
44,2012.0,9.0,,
45,2012.0,10.0,,
46,2012.0,11.0,,
47,2012.0,12.0,-0.007855690264846926,744.0
48,2013.0,1.0,-0.002199502056719184,744.0
49,2013.0,2.0,,
50,2013.0,3.0,0.0,0.0
51,2013.0,4.0,-0.007746971798426965,720.0
52,2013.0,5.0,0.0013648841740644985,744.0
53,2013.0,6.0,-0.8030701437047313,720.0
54,2013.0,7.0,-0.9593930179692579,744.0
55,2013.0,8.0,-0.5120448798441215,744.0
56,2013.0,9.0,0.0,0.0
57,2013.0,10.0,-0.029630861658366432,744.0
58,2013.0,11.0,0.014745006934813412,720.0
59,2013.0,12.0,-0.004716172331671377,744.0
60,2014.0,1.0,0.004030731760123814,744.0
61,2014.0,2.0,,
62,2014.0,3.0,0.00498485061701771,744.0
63,2014.0,4.0,0.01649973416551109,720.0
64,2014.0,5.0,0.012618714368191404,744.0
65,2014.0,6.0,-0.6668136211280637,720.0
66,2014.0,7.0,-0.9812136176661604,744.0
67,2014.0,8.0,-0.7752320307425834,744.0
68,2014.0,9.0,0.0,0.0
69,2014.0,10.0,-0.16387199069062433,744.0
70,2014.0,11.0,0.003893454307290478,720.0
71,2014.0,12.0,-0.003962897813379078,744.0
72,2015.0,1.0,-0.052649848452043096,744.0
73,2015.0,2.0,,
74,2015.0,3.0,0.0,0.0
75,2015.0,4.0,0.0,0.0
76,2015.0,5.0,0.0,0.0
77,2015.0,6.0,-0.4199383379565405,720.0
78,2015.0,7.0,-1.3523513531067335,744.0
79,2015.0,8.0,-0.5614685592119476,744.0
80,2015.0,9.0,,
81,2015.0,10.0,-0.006013769214114631,744.0
82,2015.0,11.0,-0.0012694328864212405,720.0
83,2015.0,12.0,,
84,2016.0,1.0,,
85,2016.0,2.0,,
86,2016.0,3.0,,
87,2016.0,4.0,,
88,2016.0,5.0,,
89,2016.0,6.0,,
90,2016.0,7.0,,
91,2016.0,8.0,,
92,2016.0,9.0,,
93,2016.0,10.0,,
94,2016.0,11.0,,
95,2016.0,12.0,,
96,2017.0,1.0,,
97,2017.0,2.0,,
98,2017.0,3.0,,
99,2017.0,4.0,,
100,2017.0,5.0,,
101,2017.0,6.0,,
102,2017.0,7.0,,
103,2017.0,8.0,,
104,2017.0,9.0,0.0016515372168300969,720.0
105,2017.0,10.0,0.0019863913545521052,744.0
106,2017.0,11.0,0.00832206426259983,720.0
107,2017.0,12.0,-0.007793169517209066,744.0
108,2018.0,1.0,-0.11356991231868052,744.0
109,2018.0,2.0,,
110,2018.0,3.0,-0.0012033348281940076,744.0
111,2018.0,4.0,0.002864012174450936,720.0
112,2018.0,5.0,0.010931283827671022,744.0
113,2018.0,6.0,-0.20691037139774815,720.0
114,2018.0,7.0,-0.7686874539943709,744.0
115,2018.0,8.0,-0.6217819134733312,744.0
116,2018.0,9.0,0.0,0.0
117,2018.0,10.0,0.019945502817741472,744.0
118,2018.0,11.0,,
119,2018.0,12.0,,
120,2019.0,1.0,,
121,2019.0,2.0,,
122,2019.0,3.0,,
123,2019.0,4.0,,
124,2019.0,5.0,-0.27158919499169837,744.0
125,2019.0,6.0,-0.8601134342733845,720.0
126,2019.0,7.0,-1.2501426463159409,744.0
127,2019.0,8.0,-0.6238990510211425,744.0
128,2019.0,9.0,-0.05501215903837079,720.0
129,2019.0,10.0,0.0017982445695312853,744.0
130,2019.0,11.0,,
131,2019.0,12.0,,
132,2020.0,1.0,,
133,2020.0,2.0,,
134,2020.0,3.0,,
135,2020.0,4.0,,
136,2020.0,5.0,,
137,2020.0,6.0,,
138,2020.0,7.0,,
139,2020.0,8.0,,
140,2020.0,9.0,,
141,2020.0,10.0,,
142,2020.0,11.0,,
143,2020.0,12.0,,
