index,year,month,dz,count
0,2008.0,1.0,,
1,2008.0,2.0,,
2,2008.0,3.0,,
3,2008.0,4.0,,
4,2008.0,5.0,,
5,2008.0,6.0,,
6,2008.0,7.0,,
7,2008.0,8.0,-0.4749168975968827,744.0
8,2008.0,9.0,-0.004968164069690095,720.0
9,2008.0,10.0,,
10,2008.0,11.0,,
11,2008.0,12.0,,
12,2009.0,1.0,,
13,2009.0,2.0,,
14,2009.0,3.0,,
15,2009.0,4.0,,
16,2009.0,5.0,,
17,2009.0,6.0,,
18,2009.0,7.0,,
19,2009.0,8.0,,
20,2009.0,9.0,,
21,2009.0,10.0,,
22,2009.0,11.0,,
23,2009.0,12.0,,
24,2010.0,1.0,,
25,2010.0,2.0,,
26,2010.0,3.0,,
27,2010.0,4.0,,
28,2010.0,5.0,,
29,2010.0,6.0,,
30,2010.0,7.0,,
31,2010.0,8.0,,
32,2010.0,9.0,,
33,2010.0,10.0,,
34,2010.0,11.0,,
35,2010.0,12.0,,
36,2011.0,1.0,,
37,2011.0,2.0,,
38,2011.0,3.0,,
39,2011.0,4.0,,
40,2011.0,5.0,,
41,2011.0,6.0,,
42,2011.0,7.0,,
43,2011.0,8.0,,
44,2011.0,9.0,,
45,2011.0,10.0,,
46,2011.0,11.0,,
47,2011.0,12.0,,
48,2012.0,1.0,,
49,2012.0,2.0,,
50,2012.0,3.0,,
51,2012.0,4.0,,
52,2012.0,5.0,,
53,2012.0,6.0,,
54,2012.0,7.0,,
55,2012.0,8.0,-0.8150202100021664,744.0
56,2012.0,9.0,0.0,0.0
57,2012.0,10.0,-0.07713415782636909,744.0
58,2012.0,11.0,0.0163273809523819,720.0
59,2012.0,12.0,0.006857068629574359,744.0
60,2013.0,1.0,-0.02085359385148055,744.0
61,2013.0,2.0,,
62,2013.0,3.0,0.0036394890668979,744.0
63,2013.0,4.0,0.0022946486361545637,720.0
64,2013.0,5.0,0.009081673522408356,744.0
65,2013.0,6.0,-0.337902565880721,720.0
66,2013.0,7.0,-1.1855944252002601,744.0
67,2013.0,8.0,-0.16099523706429825,744.0
68,2013.0,9.0,0.0,0.0
69,2013.0,10.0,-0.00939093959731429,744.0
70,2013.0,11.0,-0.03213827438742401,720.0
71,2013.0,12.0,-0.011328999783501558,744.0
72,2014.0,1.0,0.01384240456087377,744.0
73,2014.0,2.0,,
74,2014.0,3.0,-0.03198441401457603,744.0
