index,year,month,dz,count
0,2007.0,1.0,,
1,2007.0,2.0,,
2,2007.0,3.0,,
3,2007.0,4.0,,
4,2007.0,5.0,,
5,2007.0,6.0,,
6,2007.0,7.0,,
7,2007.0,8.0,,
8,2007.0,9.0,0.015556056403143856,720.0
9,2007.0,10.0,0.0,0.0
10,2007.0,11.0,0.008991788025889905,720.0
11,2007.0,12.0,,
12,2008.0,1.0,,
13,2008.0,2.0,,
14,2008.0,3.0,,
15,2008.0,4.0,,
16,2008.0,5.0,,
17,2008.0,6.0,,
18,2008.0,7.0,,
19,2008.0,8.0,,
20,2008.0,9.0,-0.0021294633225456376,720.0
21,2008.0,10.0,0.0,0.0
22,2008.0,11.0,0.0,0.0
23,2008.0,12.0,,
24,2009.0,1.0,,
25,2009.0,2.0,,
26,2009.0,3.0,,
27,2009.0,4.0,,
28,2009.0,5.0,,
29,2009.0,6.0,,
30,2009.0,7.0,,
31,2009.0,8.0,,
32,2009.0,9.0,0.007574341192788251,720.0
33,2009.0,10.0,0.0,0.0
34,2009.0,11.0,-0.0020166262135918626,720.0
35,2009.0,12.0,0.0031504384065819614,744.0
36,2010.0,1.0,-0.0006029768348117244,744.0
37,2010.0,2.0,,
38,2010.0,3.0,0.0,0.0
39,2010.0,4.0,0.008903525196486545,720.0
40,2010.0,5.0,-0.45242314714584675,744.0
41,2010.0,6.0,-0.4483732894128526,720.0
42,2010.0,7.0,-0.12577305337308553,744.0
43,2010.0,8.0,,
44,2010.0,9.0,,
45,2010.0,10.0,,
46,2010.0,11.0,,
47,2010.0,12.0,,
48,2011.0,1.0,,
49,2011.0,2.0,,
50,2011.0,3.0,,
51,2011.0,4.0,,
52,2011.0,5.0,-0.08628895864905596,744.0
53,2011.0,6.0,-0.7275130027739247,720.0
54,2011.0,7.0,-1.0692235981814262,744.0
55,2011.0,8.0,-1.1968631269394536,744.0
56,2011.0,9.0,-0.019747289644012286,720.0
57,2011.0,10.0,,
58,2011.0,11.0,0.011170989366621038,720.0
59,2011.0,12.0,0.011636690842175139,744.0
60,2012.0,1.0,0.0,0.0
61,2012.0,2.0,,
62,2012.0,3.0,0.0,0.0
63,2012.0,4.0,-0.07511767414085256,720.0
64,2012.0,5.0,-0.16622100224615532,744.0
65,2012.0,6.0,-1.1174562102693018,720.0
66,2012.0,7.0,-1.2326745399437107,744.0
67,2012.0,8.0,-0.7092341578263694,744.0
68,2012.0,9.0,-0.073953594544612,720.0
69,2012.0,10.0,0.0,0.0
70,2012.0,11.0,-0.013919274926797726,720.0
71,2012.0,12.0,0.0,0.0
72,2013.0,1.0,0.0125869019268292,744.0
73,2013.0,2.0,,
74,2013.0,3.0,0.0,0.0
75,2013.0,4.0,-0.03493606873169876,720.0
76,2013.0,5.0,-0.007196254600561579,744.0
77,2013.0,6.0,-0.9001492834026806,720.0
78,2013.0,7.0,-0.8858433318900164,744.0
79,2013.0,8.0,-0.525982138991122,744.0
80,2013.0,9.0,0.007267953459703198,720.0
81,2013.0,10.0,-0.01800777224507166,744.0
82,2013.0,11.0,-0.086918030513175,720.0
83,2013.0,12.0,,
84,2014.0,1.0,,
85,2014.0,2.0,,
86,2014.0,3.0,,
87,2014.0,4.0,,
88,2014.0,5.0,,
89,2014.0,6.0,,
90,2014.0,7.0,,
91,2014.0,8.0,-0.9204078696687567,744.0
92,2014.0,9.0,-0.10765490445369003,720.0
93,2014.0,10.0,-0.0020991177744070634,744.0
94,2014.0,11.0,0.009866944059178326,720.0
