index,year,month,dz,count
0,2008.0,1.0,,
1,2008.0,2.0,,
2,2008.0,3.0,,
3,2008.0,4.0,,
4,2008.0,5.0,,
5,2008.0,6.0,,
6,2008.0,7.0,,
7,2008.0,8.0,-0.4391593201991777,744.0
8,2008.0,9.0,-0.014177117044228667,720.0
9,2008.0,10.0,-0.00015049253085082132,744.0
10,2008.0,11.0,0.0,0.0
11,2008.0,12.0,0.0016139315869236324,744.0
12,2009.0,1.0,0.008846135527170229,744.0
13,2009.0,2.0,,
14,2009.0,3.0,0.011595518510500405,744.0
15,2009.0,4.0,0.0020528548312529612,720.0
16,2009.0,5.0,0.006899382983330173,744.0
17,2009.0,6.0,-0.10005130027739281,720.0
18,2009.0,7.0,-1.2275554827884827,744.0
19,2009.0,8.0,-0.32641632387962777,744.0
20,2009.0,9.0,-0.010179149329634518,720.0
21,2009.0,10.0,0.001601319607773173,744.0
22,2009.0,11.0,,
23,2009.0,12.0,,
24,2010.0,1.0,,
25,2010.0,2.0,,
26,2010.0,3.0,,
27,2010.0,4.0,,
28,2010.0,5.0,,
29,2010.0,6.0,,
30,2010.0,7.0,,
31,2010.0,8.0,-0.6182638882875081,744.0
32,2010.0,9.0,,
33,2010.0,10.0,,
34,2010.0,11.0,0.0,0.0
35,2010.0,12.0,0.0,0.0
36,2011.0,1.0,-0.010774020350724214,744.0
37,2011.0,2.0,,
38,2011.0,3.0,0.0,0.0
39,2011.0,4.0,0.0,0.0
40,2011.0,5.0,-0.015400479901854511,744.0
41,2011.0,6.0,-0.550792416011712,720.0
42,2011.0,7.0,-1.2204210543407663,744.0
43,2011.0,8.0,-0.48565579129681774,744.0
44,2011.0,9.0,,
45,2011.0,10.0,0.0,0.0
46,2011.0,11.0,-0.016307137078131854,720.0
47,2011.0,12.0,0.01148352457241931,744.0
48,2012.0,1.0,0.0,0.0
49,2012.0,2.0,,
50,2012.0,3.0,0.0,0.0
51,2012.0,4.0,0.012443932038835384,720.0
52,2012.0,5.0,-0.004606960381034095,744.0
53,2012.0,6.0,-0.9894632223763292,720.0
54,2012.0,7.0,-1.1892044814894998,744.0
55,2012.0,8.0,-0.7826740622970344,744.0
56,2012.0,9.0,0.00026316458622381486,720.0
57,2012.0,10.0,0.0033888612253746486,744.0
58,2012.0,11.0,-0.00034718754815766216,720.0
59,2012.0,12.0,-0.001753671429601722,744.0
60,2013.0,1.0,0.0,0.0
