date,dzdt
2014-07-31 16:00:00+00:00,1.15
2014-07-31 17:00:00+00:00,0.78
2014-07-31 18:00:00+00:00,-0.29
2014-07-31 19:00:00+00:00,-0.28
2014-07-31 20:00:00+00:00,-0.21
2014-07-31 21:00:00+00:00,-0.16
2014-08-01 10:00:00+00:00,0.15
2014-08-01 11:00:00+00:00,0.45
2014-08-01 12:00:00+00:00,0.73
2014-08-01 13:00:00+00:00,0.54
2014-08-01 20:00:00+00:00,-0.29
2014-08-01 21:00:00+00:00,-0.38
2014-08-01 22:00:00+00:00,-0.40
2014-08-01 23:00:00+00:00,-0.17
2014-08-02 07:00:00+00:00,0.20
2014-08-02 08:00:00+00:00,0.31
2014-08-02 09:00:00+00:00,0.59
2014-08-02 10:00:00+00:00,0.79
2014-08-02 11:00:00+00:00,0.70
2014-08-02 12:00:00+00:00,0.43
2014-08-02 15:00:00+00:00,0.77
2014-08-02 16:00:00+00:00,0.39
2014-08-02 17:00:00+00:00,0.16
2014-08-02 23:00:00+00:00,-5.03
2014-08-03 01:00:00+00:00,-0.31
2014-08-03 02:00:00+00:00,-1.64
2014-08-03 03:00:00+00:00,-2.00
2014-08-03 04:00:00+00:00,-0.66
2014-08-03 05:00:00+00:00,-0.34
2014-08-03 06:00:00+00:00,-0.16
2014-08-03 09:00:00+00:00,0.63
2014-08-03 10:00:00+00:00,4.02
2014-08-03 11:00:00+00:00,4.02
2014-08-03 12:00:00+00:00,4.02
2014-12-13 07:00:00+00:00,-0.17
2016-06-24 18:00:00+00:00,-0.16
2016-07-09 05:00:00+00:00,0.16
2016-07-19 04:00:00+00:00,-0.15
2016-07-23 20:00:00+00:00,-0.16
2016-07-25 17:00:00+00:00,-0.15
2016-08-11 16:00:00+00:00,0.23
2016-11-10 02:00:00+00:00,0.19
2017-07-27 17:00:00+00:00,3.45
2017-07-27 18:00:00+00:00,3.45
2017-07-27 19:00:00+00:00,3.45
2017-07-27 20:00:00+00:00,-0.18
2017-07-27 23:00:00+00:00,-3.35
