date,dzdt
2009-10-09 00:00:00+00:00,0.21
2009-10-13 14:00:00+00:00,-0.22
2009-10-18 02:00:00+00:00,-0.42
2010-04-14 12:00:00+00:00,-0.22
2010-10-12 13:00:00+00:00,-0.22
2010-10-12 14:00:00+00:00,-0.23
2014-04-13 16:00:00+00:00,-0.15
2015-07-06 18:00:00+00:00,0.27
2015-07-06 19:00:00+00:00,0.18
2015-07-06 23:00:00+00:00,-0.40
2016-10-03 16:00:00+00:00,0.18
2016-10-03 17:00:00+00:00,0.19
2016-10-03 18:00:00+00:00,0.20
2016-10-03 19:00:00+00:00,0.19
2016-10-03 20:00:00+00:00,0.19
2016-10-03 21:00:00+00:00,0.19
2016-10-03 22:00:00+00:00,0.19
2016-10-03 23:00:00+00:00,0.18
2016-10-04 00:00:00+00:00,0.17
2016-10-04 07:00:00+00:00,0.15
