date,dzdt
2008-08-09 15:00:00+00:00,-0.22
2010-07-26 13:00:00+00:00,-0.41
2010-07-26 15:00:00+00:00,0.41
2015-07-13 16:00:00+00:00,-0.16
2016-03-23 13:00:00+00:00,-0.18
2016-03-24 03:00:00+00:00,-0.17
2016-03-24 06:00:00+00:00,-0.17
2016-03-24 15:00:00+00:00,0.20
2016-03-24 19:00:00+00:00,-0.16
2016-03-26 03:00:00+00:00,-0.17
2016-03-26 07:00:00+00:00,0.16
2016-03-26 09:00:00+00:00,-0.41
2016-03-26 11:00:00+00:00,0.17
2016-03-26 16:00:00+00:00,0.17
2016-03-26 17:00:00+00:00,0.17
2016-03-26 18:00:00+00:00,0.17
2016-03-26 19:00:00+00:00,0.17
2016-03-26 20:00:00+00:00,0.17
2016-03-26 21:00:00+00:00,-0.58
2016-03-27 01:00:00+00:00,0.24
2016-03-27 03:00:00+00:00,-0.17
2016-03-27 09:00:00+00:00,-0.54
2016-03-27 11:00:00+00:00,0.39
2016-03-28 11:00:00+00:00,-1.30
2016-03-28 12:00:00+00:00,-0.15
2016-03-28 15:00:00+00:00,0.22
2016-03-28 16:00:00+00:00,0.15
2016-03-28 17:00:00+00:00,0.15
2016-03-28 18:00:00+00:00,0.15
2016-03-28 19:00:00+00:00,0.15
2016-03-28 20:00:00+00:00,0.15
2016-03-28 21:00:00+00:00,0.15
2016-03-28 22:00:00+00:00,-0.70
2016-03-28 23:00:00+00:00,-0.22
2016-03-29 16:00:00+00:00,1.05
2016-03-29 20:00:00+00:00,-0.41
2016-03-30 16:00:00+00:00,0.18
2016-03-30 17:00:00+00:00,0.18
2016-03-30 18:00:00+00:00,0.18
2016-03-30 19:00:00+00:00,0.18
2016-03-30 20:00:00+00:00,0.18
2016-03-30 21:00:00+00:00,0.18
2016-03-30 22:00:00+00:00,-0.36
2016-03-30 23:00:00+00:00,-0.19
2016-03-31 01:00:00+00:00,-0.27
2016-03-31 07:00:00+00:00,-0.16
2016-03-31 09:00:00+00:00,-0.22
2016-03-31 10:00:00+00:00,0.23
2016-03-31 16:00:00+00:00,0.15
2016-03-31 17:00:00+00:00,0.15
2016-03-31 18:00:00+00:00,0.15
2016-03-31 19:00:00+00:00,0.15
2016-03-31 20:00:00+00:00,0.15
2016-03-31 21:00:00+00:00,0.15
2016-03-31 22:00:00+00:00,-0.30
2016-03-31 23:00:00+00:00,-0.27
2016-04-01 02:00:00+00:00,-0.16
2016-04-01 09:00:00+00:00,-0.27
2016-04-01 10:00:00+00:00,0.17
2016-04-01 16:00:00+00:00,1.38
2016-04-01 17:00:00+00:00,-0.32
2016-04-01 18:00:00+00:00,-0.32
2016-04-01 19:00:00+00:00,-0.31
2016-04-01 22:00:00+00:00,-0.20
2016-04-02 16:00:00+00:00,0.32
2016-04-03 21:00:00+00:00,-0.24
2016-04-04 23:00:00+00:00,-0.23
2016-04-05 18:00:00+00:00,0.17
2016-04-08 08:00:00+00:00,-0.39
2016-04-08 18:00:00+00:00,0.23
2016-04-11 20:00:00+00:00,0.16
2016-04-11 21:00:00+00:00,0.15
2016-04-11 23:00:00+00:00,-0.22
2016-04-14 19:00:00+00:00,0.18
2016-04-16 18:00:00+00:00,0.17
2016-04-19 08:00:00+00:00,-0.16
2016-04-21 01:00:00+00:00,-0.20
2016-04-24 09:00:00+00:00,-0.16
2016-04-25 01:00:00+00:00,-0.19
2016-04-26 02:00:00+00:00,-0.18
2017-01-10 20:00:00+00:00,-0.22
2017-01-12 02:00:00+00:00,0.16
2017-01-12 04:00:00+00:00,-0.19
2017-01-24 15:00:00+00:00,-0.16
2017-02-18 14:00:00+00:00,0.20
2017-02-18 15:00:00+00:00,-0.17
2017-02-20 09:00:00+00:00,-0.19
2017-02-20 12:00:00+00:00,0.18
2017-02-20 13:00:00+00:00,-0.18
2017-02-20 14:00:00+00:00,0.21
2017-03-03 15:00:00+00:00,0.16
2017-03-08 01:00:00+00:00,0.16
2017-03-08 02:00:00+00:00,-0.17
2017-03-08 09:00:00+00:00,-0.24
2017-03-12 01:00:00+00:00,-0.21
2017-03-12 04:00:00+00:00,-0.17
2017-03-12 05:00:00+00:00,0.18
2017-03-15 22:00:00+00:00,0.28
2017-03-17 09:00:00+00:00,-0.17
2017-03-18 06:00:00+00:00,-0.17
2017-03-20 00:00:00+00:00,-0.20
2017-03-20 10:00:00+00:00,-0.35
2017-03-20 11:00:00+00:00,0.20
2017-03-21 02:00:00+00:00,-0.15
2017-03-21 03:00:00+00:00,0.29
2017-03-21 04:00:00+00:00,-0.20
2017-03-21 06:00:00+00:00,0.20
2017-03-21 09:00:00+00:00,-0.32
2017-03-21 10:00:00+00:00,-0.27
2017-03-21 11:00:00+00:00,0.32
2017-03-21 23:00:00+00:00,-0.47
2017-03-22 00:00:00+00:00,0.16
2017-03-22 19:00:00+00:00,-0.24
2017-03-23 22:00:00+00:00,-0.20
2017-03-23 23:00:00+00:00,0.19
2017-03-24 06:00:00+00:00,-0.15
2017-03-24 07:00:00+00:00,-0.22
2017-03-24 15:00:00+00:00,0.61
2017-03-25 00:00:00+00:00,-0.40
2017-03-25 07:00:00+00:00,-0.18
2017-03-26 01:00:00+00:00,-0.15
2017-03-26 03:00:00+00:00,0.17
2017-03-26 04:00:00+00:00,-0.27
2017-03-26 05:00:00+00:00,0.29
2017-03-26 07:00:00+00:00,-0.21
2017-03-27 03:00:00+00:00,-0.26
2017-03-27 04:00:00+00:00,0.15
2017-03-27 06:00:00+00:00,-0.27
2017-03-27 09:00:00+00:00,-0.17
2017-03-27 15:00:00+00:00,0.23
2017-03-27 19:00:00+00:00,-0.18
2017-03-29 16:00:00+00:00,0.20
2017-03-29 17:00:00+00:00,0.20
2017-03-29 18:00:00+00:00,0.20
2017-03-29 20:00:00+00:00,-0.30
2017-03-30 20:00:00+00:00,-0.22
2017-03-31 15:00:00+00:00,0.30
2017-03-31 23:00:00+00:00,-0.18
2017-04-01 16:00:00+00:00,0.47
2017-04-02 01:00:00+00:00,0.19
2017-04-02 02:00:00+00:00,0.21
2017-04-02 03:00:00+00:00,-0.18
2017-04-02 09:00:00+00:00,-0.34
2017-04-02 10:00:00+00:00,0.17
2017-04-05 09:00:00+00:00,-0.21
2017-04-06 22:00:00+00:00,-0.19
2017-04-09 05:00:00+00:00,-0.32
2017-04-09 18:00:00+00:00,0.35
2017-04-10 18:00:00+00:00,0.23
2017-04-10 23:00:00+00:00,-0.35
2017-04-11 18:00:00+00:00,0.34
2017-04-11 22:00:00+00:00,-0.19
2017-04-14 20:00:00+00:00,0.27
2017-04-14 21:00:00+00:00,0.19
2017-04-14 22:00:00+00:00,-0.22
2017-04-14 23:00:00+00:00,-0.15
2017-04-16 19:00:00+00:00,0.22
2017-04-17 19:00:00+00:00,0.16
2017-04-19 19:00:00+00:00,0.16
2017-08-07 04:00:00+00:00,-0.83
2019-04-29 11:00:00+00:00,0.18
