date,dzdt
2014-08-27 12:00:00+00:00,0.71
2018-09-12 05:00:00+00:00,0.28
2018-09-13 02:00:00+00:00,0.23
2018-09-13 05:00:00+00:00,-0.17
2018-09-13 08:00:00+00:00,0.24
2018-09-14 06:00:00+00:00,0.20
2019-08-17 12:00:00+00:00,-0.86
2019-09-14 07:00:00+00:00,0.31
2019-09-14 09:00:00+00:00,-0.28
2019-09-15 02:00:00+00:00,0.48
2019-09-15 03:00:00+00:00,0.16
2019-09-15 10:00:00+00:00,-1.04
2019-09-15 11:00:00+00:00,0.18
2019-09-15 12:00:00+00:00,0.18
2019-09-15 13:00:00+00:00,0.76
2019-09-15 14:00:00+00:00,-0.73
2019-09-15 15:00:00+00:00,-0.45
2019-09-15 20:00:00+00:00,0.93
2019-09-15 21:00:00+00:00,0.19
2019-09-16 11:00:00+00:00,-0.69
2019-09-16 12:00:00+00:00,-0.18
2019-09-16 19:00:00+00:00,0.17
2019-09-16 20:00:00+00:00,0.42
2019-09-16 21:00:00+00:00,0.22
2019-09-17 10:00:00+00:00,-0.19
2019-09-17 11:00:00+00:00,-0.69
2019-09-18 04:00:00+00:00,-0.22
2019-09-18 05:00:00+00:00,0.26
2019-09-18 11:00:00+00:00,-0.38
2019-09-19 21:00:00+00:00,0.15
2019-09-19 22:00:00+00:00,-0.22
2019-09-20 01:00:00+00:00,0.17
2019-09-20 04:00:00+00:00,-0.16
2019-09-20 05:00:00+00:00,0.26
2019-09-20 11:00:00+00:00,-0.36
