date,dzdt
2009-08-17 20:00:00+00:00,17.20
2012-08-11 23:00:00+00:00,-0.31
2012-08-12 15:00:00+00:00,0.25
2013-03-03 00:00:00+00:00,-0.41
2013-03-03 01:00:00+00:00,-0.41
2013-03-03 02:00:00+00:00,-0.41
2013-03-03 03:00:00+00:00,-0.41
2013-03-03 04:00:00+00:00,-0.41
2013-03-03 05:00:00+00:00,-0.41
2013-03-03 06:00:00+00:00,-0.41
2013-03-03 07:00:00+00:00,-0.41
2013-03-03 08:00:00+00:00,-0.41
2013-03-03 09:00:00+00:00,-0.41
2013-03-03 10:00:00+00:00,-0.41
2013-03-03 11:00:00+00:00,-0.41
2013-03-03 12:00:00+00:00,4.97
2013-08-03 01:00:00+00:00,0.20
2014-09-27 18:00:00+00:00,-0.16
2014-09-27 19:00:00+00:00,-0.19
2014-09-27 20:00:00+00:00,-0.19
2014-09-27 21:00:00+00:00,-0.16
2014-09-27 22:00:00+00:00,-0.17
2015-08-01 13:00:00+00:00,0.17
2015-08-01 14:00:00+00:00,0.17
2015-08-01 23:00:00+00:00,-0.32
2015-09-17 18:00:00+00:00,-0.20
2015-09-17 19:00:00+00:00,-0.16
2015-09-18 14:00:00+00:00,-1.14
2015-09-18 15:00:00+00:00,-5.99
2015-09-18 16:00:00+00:00,-0.95
2017-08-25 14:00:00+00:00,1.67
