date,dzdt
2014-02-18 13:00:00+00:00,-0.23
2014-02-18 14:00:00+00:00,-0.28
2014-02-18 15:00:00+00:00,0.38
2014-02-18 16:00:00+00:00,0.15
2014-02-18 17:00:00+00:00,-0.64
2014-02-19 19:00:00+00:00,-0.44
2014-02-19 20:00:00+00:00,-0.44
2014-02-19 21:00:00+00:00,-0.44
2014-02-19 22:00:00+00:00,-0.44
2014-02-19 23:00:00+00:00,-0.44
2014-02-20 00:00:00+00:00,-0.44
2014-02-20 01:00:00+00:00,-0.44
2014-02-20 02:00:00+00:00,0.31
2014-02-20 03:00:00+00:00,0.31
2014-02-20 04:00:00+00:00,0.31
2014-02-20 05:00:00+00:00,0.31
2014-02-20 06:00:00+00:00,0.31
2014-02-20 07:00:00+00:00,0.31
2014-02-20 08:00:00+00:00,0.31
2014-02-20 09:00:00+00:00,0.31
2014-02-20 10:00:00+00:00,0.31
2014-02-20 11:00:00+00:00,0.31
2014-02-20 21:00:00+00:00,-0.91
2014-02-20 22:00:00+00:00,0.20
2014-02-21 12:00:00+00:00,0.30
2014-02-21 19:00:00+00:00,-0.41
2014-02-21 20:00:00+00:00,-0.24
2014-02-21 21:00:00+00:00,-0.24
2014-02-21 22:00:00+00:00,-0.24
2014-02-21 23:00:00+00:00,-0.24
2014-02-22 00:00:00+00:00,-0.24
2014-02-22 01:00:00+00:00,-0.24
2014-02-22 02:00:00+00:00,-0.24
2014-02-22 03:00:00+00:00,-0.24
2014-02-22 04:00:00+00:00,-0.24
2014-02-22 05:00:00+00:00,-0.24
2014-02-22 06:00:00+00:00,-0.24
2014-02-22 07:00:00+00:00,-0.24
2014-02-22 08:00:00+00:00,1.04
2014-02-22 09:00:00+00:00,1.04
2014-02-22 10:00:00+00:00,1.04
2014-02-22 12:00:00+00:00,0.26
2014-02-22 21:00:00+00:00,-0.74
2014-02-23 11:00:00+00:00,0.16
2014-02-24 05:00:00+00:00,-0.81
2014-02-24 06:00:00+00:00,-0.17
2014-02-24 10:00:00+00:00,0.63
2014-02-26 04:00:00+00:00,-0.19
2014-02-26 05:00:00+00:00,-1.01
2014-02-26 06:00:00+00:00,0.22
2014-02-26 10:00:00+00:00,0.60
2014-02-26 11:00:00+00:00,0.28
2014-02-27 01:00:00+00:00,-0.99
2014-02-27 10:00:00+00:00,0.58
2014-02-27 22:00:00+00:00,-1.06
2014-02-27 23:00:00+00:00,0.18
2014-02-28 10:00:00+00:00,0.57
2014-03-01 04:00:00+00:00,-0.85
2014-03-01 05:00:00+00:00,-0.16
2014-03-01 09:00:00+00:00,0.17
2014-03-01 10:00:00+00:00,0.53
2014-03-02 00:00:00+00:00,-0.59
2014-03-02 01:00:00+00:00,-0.48
2014-03-02 02:00:00+00:00,0.18
2014-03-02 05:00:00+00:00,0.17
2014-03-02 06:00:00+00:00,0.17
2014-03-02 07:00:00+00:00,0.17
2014-03-02 08:00:00+00:00,0.17
2018-10-21 07:00:00+00:00,0.16
2018-10-21 08:00:00+00:00,0.16
2018-10-21 09:00:00+00:00,0.16
2018-10-21 10:00:00+00:00,0.16
