date,dzdt
2007-08-24 21:00:00+00:00,-0.25
2007-08-25 10:00:00+00:00,-0.22
2007-08-25 11:00:00+00:00,0.15
2007-08-25 17:00:00+00:00,-0.36
2007-08-27 02:00:00+00:00,-0.44
2007-08-27 03:00:00+00:00,0.51
2007-08-29 16:00:00+00:00,-0.17
2007-08-29 18:00:00+00:00,0.22
2007-08-29 19:00:00+00:00,-0.43
2007-08-29 20:00:00+00:00,-0.17
2007-08-31 09:00:00+00:00,0.22
2007-08-31 10:00:00+00:00,0.22
2007-08-31 20:00:00+00:00,-0.30
2007-08-31 21:00:00+00:00,-0.15
2007-09-01 09:00:00+00:00,0.28
2007-09-01 10:00:00+00:00,0.19
2007-09-01 19:00:00+00:00,-0.21
2007-09-01 20:00:00+00:00,-0.26
2007-09-03 10:00:00+00:00,0.26
2007-09-03 16:00:00+00:00,-0.18
2007-09-04 08:00:00+00:00,0.24
2007-09-04 09:00:00+00:00,0.17
2007-09-04 18:00:00+00:00,-0.20
2007-09-06 13:00:00+00:00,0.19
2007-09-06 14:00:00+00:00,-0.25
2007-09-06 16:00:00+00:00,0.17
2007-09-06 18:00:00+00:00,0.22
2007-09-06 19:00:00+00:00,-0.28
2007-09-06 20:00:00+00:00,-0.27
2007-09-08 10:00:00+00:00,0.21
2007-09-08 11:00:00+00:00,0.36
2007-09-08 15:00:00+00:00,-0.17
2007-09-08 16:00:00+00:00,-0.23
2007-09-10 09:00:00+00:00,0.29
2007-09-10 10:00:00+00:00,0.21
2007-09-10 18:00:00+00:00,-0.22
2007-09-10 19:00:00+00:00,-0.20
2007-09-10 20:00:00+00:00,-0.23
2007-09-11 09:00:00+00:00,0.18
2007-09-11 11:00:00+00:00,0.19
2007-09-12 13:00:00+00:00,0.19
2007-09-12 16:00:00+00:00,-0.31
2007-09-12 19:00:00+00:00,-0.20
2007-09-12 20:00:00+00:00,-0.24
2007-09-13 18:00:00+00:00,0.16
2007-09-14 18:00:00+00:00,-0.24
2007-09-15 08:00:00+00:00,0.17
2007-09-15 09:00:00+00:00,0.43
2007-09-15 10:00:00+00:00,0.18
2007-09-15 17:00:00+00:00,-0.29
2007-09-15 18:00:00+00:00,-0.19
2007-09-18 10:00:00+00:00,0.16
2007-09-18 16:00:00+00:00,-0.19
2007-09-18 18:00:00+00:00,-0.17
2007-09-19 10:00:00+00:00,0.30
2007-09-20 09:00:00+00:00,0.18
2007-09-20 10:00:00+00:00,0.17
2007-09-20 11:00:00+00:00,0.20
2007-09-20 13:00:00+00:00,0.15
2007-09-20 16:00:00+00:00,-0.16
2007-09-20 18:00:00+00:00,-0.20
2007-09-20 20:00:00+00:00,-0.18
2007-09-21 09:00:00+00:00,0.24
2007-09-21 10:00:00+00:00,0.23
2007-09-21 11:00:00+00:00,0.21
2007-09-21 16:00:00+00:00,-0.18
2007-09-21 17:00:00+00:00,-0.17
2007-09-22 09:00:00+00:00,0.16
2007-09-22 10:00:00+00:00,0.18
2007-09-22 11:00:00+00:00,0.19
2007-09-23 09:00:00+00:00,0.19
2007-09-23 10:00:00+00:00,0.17
2007-09-23 13:00:00+00:00,0.18
2007-09-23 16:00:00+00:00,-0.17
2007-09-23 19:00:00+00:00,-0.16
2007-09-26 14:00:00+00:00,0.17
2007-09-26 15:00:00+00:00,0.17
2007-09-26 16:00:00+00:00,-0.20
2007-09-26 17:00:00+00:00,-0.17
2007-09-27 09:00:00+00:00,0.31
2007-09-27 10:00:00+00:00,0.30
2007-09-27 18:00:00+00:00,-0.21
2007-09-27 19:00:00+00:00,-0.19
2007-09-28 09:00:00+00:00,0.26
2007-09-28 10:00:00+00:00,0.23
2007-09-28 11:00:00+00:00,0.18
2007-09-28 17:00:00+00:00,-0.21
2007-09-28 18:00:00+00:00,-0.19
2007-09-28 19:00:00+00:00,-0.18
2007-09-28 20:00:00+00:00,-0.18
2007-09-29 09:00:00+00:00,0.21
2007-09-29 10:00:00+00:00,0.23
2007-09-29 11:00:00+00:00,0.23
2007-09-29 14:00:00+00:00,-0.17
2007-10-01 09:00:00+00:00,0.25
2007-10-01 10:00:00+00:00,0.26
2007-10-01 11:00:00+00:00,0.28
2007-10-01 18:00:00+00:00,-0.22
2007-10-01 19:00:00+00:00,-0.23
2007-10-03 10:00:00+00:00,0.21
2007-10-03 12:00:00+00:00,0.24
2007-10-03 18:00:00+00:00,-0.18
2007-10-04 09:00:00+00:00,0.17
2007-10-04 10:00:00+00:00,0.18
2007-10-04 11:00:00+00:00,0.18
2007-10-04 18:00:00+00:00,-0.17
2007-10-04 19:00:00+00:00,-0.16
2007-10-05 15:00:00+00:00,0.18
2007-10-05 17:00:00+00:00,-0.20
2007-10-08 19:00:00+00:00,-0.22
2007-10-09 16:00:00+00:00,0.30
2007-10-09 17:00:00+00:00,-0.25
2007-10-10 10:00:00+00:00,0.22
2007-10-10 15:00:00+00:00,-0.16
2007-10-11 10:00:00+00:00,0.28
2007-10-11 11:00:00+00:00,0.15
2007-10-11 14:00:00+00:00,-0.15
2007-10-11 18:00:00+00:00,-0.19
2007-10-12 10:00:00+00:00,0.27
2007-10-12 11:00:00+00:00,0.20
2007-10-12 17:00:00+00:00,-0.18
2007-10-12 18:00:00+00:00,-0.20
2007-10-12 19:00:00+00:00,-0.20
2007-10-13 10:00:00+00:00,0.23
2007-10-13 11:00:00+00:00,0.21
2007-10-13 18:00:00+00:00,-0.18
2007-10-13 19:00:00+00:00,-0.15
2007-10-14 10:00:00+00:00,0.18
2007-10-14 11:00:00+00:00,0.26
2007-10-14 17:00:00+00:00,-0.19
2007-10-15 10:00:00+00:00,0.19
2007-10-15 11:00:00+00:00,0.20
2007-10-15 12:00:00+00:00,0.15
2007-10-15 17:00:00+00:00,-0.19
2007-10-15 18:00:00+00:00,-0.20
2007-10-16 11:00:00+00:00,0.28
2007-10-16 16:00:00+00:00,-0.19
2007-10-20 11:00:00+00:00,0.39
2007-10-20 17:00:00+00:00,-0.17
2007-10-20 18:00:00+00:00,-0.25
