date,dzdt
2015-06-30 18:00:00+00:00,0.34
2016-03-03 19:00:00+00:00,0.15
2016-03-17 00:00:00+00:00,-4.09
2016-03-17 01:00:00+00:00,0.34
2016-03-17 02:00:00+00:00,0.34
2016-03-17 03:00:00+00:00,0.34
2016-03-17 04:00:00+00:00,0.34
2016-03-17 05:00:00+00:00,0.34
2016-03-17 06:00:00+00:00,0.34
2016-03-17 07:00:00+00:00,0.34
2016-03-17 08:00:00+00:00,0.34
2016-03-17 09:00:00+00:00,0.34
2016-03-17 10:00:00+00:00,0.34
2016-03-17 11:00:00+00:00,0.34
2016-03-17 12:00:00+00:00,0.34
2019-02-18 21:00:00+00:00,-0.20
2019-02-20 01:00:00+00:00,-0.98
2019-02-20 22:00:00+00:00,-0.78
2019-02-22 05:00:00+00:00,-0.47
2019-02-22 06:00:00+00:00,-0.52
2019-02-23 08:00:00+00:00,-0.81
2019-02-23 09:00:00+00:00,0.16
2019-02-23 10:00:00+00:00,0.16
2019-02-23 11:00:00+00:00,0.16
2019-02-23 12:00:00+00:00,0.16
2019-02-23 13:00:00+00:00,0.16
2019-02-24 10:00:00+00:00,-0.43
2019-02-24 11:00:00+00:00,-0.43
2019-02-24 14:00:00+00:00,0.66
